,location,crop,season,indicator,Unit,Date,Value,State,mean
102,Adilabad,Rice,Rabi,Production (In Tonnes),tonnes,2003,11188.0,Telangana,79.6026315789
103,Adilabad,Rice,Rabi,Production (In Tonnes),tonnes,2004,16016.0,Telangana,79.6026315789
104,Adilabad,Rice,Rabi,Production (In Tonnes),tonnes,2005,8749.0,Telangana,79.6026315789
105,Adilabad,Rice,Rabi,Production (In Tonnes),tonnes,2006,22586.0,Telangana,79.6026315789
106,Adilabad,Rice,Rabi,Production (In Tonnes),tonnes,2007,22548.0,Telangana,79.6026315789
107,Adilabad,Rice,Rabi,Production (In Tonnes),tonnes,2008,28000.0,Telangana,79.6026315789
108,Adilabad,Rice,Rabi,Production (In Tonnes),tonnes,2009,65333.0,Telangana,79.6026315789
109,Adilabad,Rice,Rabi,Production (In Tonnes),tonnes,2010,23235.0,Telangana,79.6026315789
110,Adilabad,Rice,Rabi,Production (In Tonnes),tonnes,2011,79891.0,Telangana,79.6026315789
111,Adilabad,Rice,Rabi,Production (In Tonnes),tonnes,2012,48016.0,Telangana,79.6026315789
112,Adilabad,Rice,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,1999,2.7459016393,Telangana,79.6026315789
113,Adilabad,Rice,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2000,2.4240437158,Telangana,79.6026315789
114,Adilabad,Rice,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2001,3.0789396602,Telangana,79.6026315789
115,Adilabad,Rice,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2002,2.3909666871,Telangana,79.6026315789
116,Adilabad,Rice,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2003,2.1779248589,Telangana,79.6026315789
117,Adilabad,Rice,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2004,2.6389850058,Telangana,79.6026315789
118,Adilabad,Rice,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2005,2.1960341365,Telangana,79.6026315789
119,Adilabad,Rice,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2006,2.3860130995,Telangana,79.6026315789
120,Adilabad,Rice,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2007,2.5000554385,Telangana,79.6026315789
121,Adilabad,Rice,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2008,2.3333333333,Telangana,79.6026315789
122,Adilabad,Rice,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2009,2.866991399,Telangana,79.6026315789
123,Adilabad,Rice,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2010,2.2690429688,Telangana,79.6026315789
124,Adilabad,Rice,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2011,2.8899942121,Telangana,79.6026315789
125,Adilabad,Rice,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2012,3.1000064562,Telangana,79.6026315789
126,Adilabad,Wheat,Rabi,Area (In Hectare),hectare,1999,2800.0,Telangana,79.6026315789
127,Adilabad,Wheat,Rabi,Area (In Hectare),hectare,2000,3964.0,Telangana,79.6026315789
128,Adilabad,Wheat,Rabi,Area (In Hectare),hectare,2001,3681.0,Telangana,79.6026315789
129,Adilabad,Wheat,Rabi,Area (In Hectare),hectare,2002,3721.0,Telangana,79.6026315789
130,Adilabad,Wheat,Rabi,Area (In Hectare),hectare,2003,3267.0,Telangana,79.6026315789
131,Adilabad,Wheat,Rabi,Area (In Hectare),hectare,2004,3842.0,Telangana,79.6026315789
132,Adilabad,Wheat,Rabi,Area (In Hectare),hectare,2005,2895.0,Telangana,79.6026315789
133,Adilabad,Wheat,Rabi,Area (In Hectare),hectare,2006,3920.0,Telangana,79.6026315789
134,Adilabad,Wheat,Rabi,Area (In Hectare),hectare,2007,3222.0,Telangana,79.6026315789
135,Adilabad,Wheat,Rabi,Area (In Hectare),hectare,2008,1000.0,Telangana,79.6026315789
136,Adilabad,Wheat,Rabi,Area (In Hectare),hectare,2009,7180.0,Telangana,79.6026315789
137,Adilabad,Wheat,Rabi,Area (In Hectare),hectare,2010,3392.0,Telangana,79.6026315789
138,Adilabad,Wheat,Rabi,Area (In Hectare),hectare,2011,4046.0,Telangana,79.6026315789
139,Adilabad,Wheat,Rabi,Area (In Hectare),hectare,2012,3275.0,Telangana,79.6026315789
140,Adilabad,Wheat,Rabi,Production (In Tonnes),tonnes,1999,1600.0,Telangana,79.6026315789
141,Adilabad,Wheat,Rabi,Production (In Tonnes),tonnes,2000,2656.0,Telangana,79.6026315789
142,Adilabad,Wheat,Rabi,Production (In Tonnes),tonnes,2001,1848.0,Telangana,79.6026315789
143,Adilabad,Wheat,Rabi,Production (In Tonnes),tonnes,2002,3327.0,Telangana,79.6026315789
144,Adilabad,Wheat,Rabi,Production (In Tonnes),tonnes,2003,3006.0,Telangana,79.6026315789
145,Adilabad,Wheat,Rabi,Production (In Tonnes),tonnes,2004,2298.0,Telangana,79.6026315789
146,Adilabad,Wheat,Rabi,Production (In Tonnes),tonnes,2005,840.0,Telangana,79.6026315789
147,Adilabad,Wheat,Rabi,Production (In Tonnes),tonnes,2006,1341.0,Telangana,79.6026315789
148,Adilabad,Wheat,Rabi,Production (In Tonnes),tonnes,2007,2510.0,Telangana,79.6026315789
149,Adilabad,Wheat,Rabi,Production (In Tonnes),tonnes,2008,1000.0,Telangana,79.6026315789
150,Adilabad,Wheat,Rabi,Production (In Tonnes),tonnes,2009,8350.0,Telangana,79.6026315789
151,Adilabad,Wheat,Rabi,Production (In Tonnes),tonnes,2010,4566.0,Telangana,79.6026315789
